x_tsne,y_tsne
-16.383799,-7.4578795
-8.601975,31.024303
-0.92231697,-30.287804
-11.565676,8.263241
10.511222,1.4335529
-32.47248,-9.242304
5.2619934,1.4784452
18.849794,-20.978483
27.83985,6.8514276
2.5733552,-12.69125
8.25503,-17.405733
23.23249,10.717224
-18.142284,2.5930753
-17.799694,-13.324521
-22.865341,-14.992312
14.888949,8.007178
-3.2821925,-18.115747
-30.146847,8.550839
-3.9870942,-27.37807
-1.376002,-24.177721
6.184014,11.0629835
8.046561,-2.960934
9.651328,-12.825889
-8.572568,4.3766947
-8.3932,-12.420112
-21.256567,-4.9948444
20.08123,13.471572
-3.1235104,20.662617
-1.7777827,-15.103269
-16.34199,-7.5444207
23.483139,14.25217
24.638075,3.2972207
8.286113,-23.80003
-1.673966,-32.546597
-14.239325,-11.027448
21.998049,6.474172
-1.1015505,-32.510136
22.48982,-1.4738572
24.54891,10.543414
-19.191439,-6.9334226
0.078329,10.500773
11.502536,19.696741
7.4282665,0.018689895
-4.9006147,4.048578
-0.66370296,-18.382355
17.82597,-20.062138
-13.690608,19.398176
8.314327,12.158008
-17.279198,4.5706196
-6.7298045,18.939796
20.064882,26.802818
20.041195,0.5962887
25.107298,0.97744274
6.7791586,-18.53459
4.9712667,-21.133596
10.179191,5.080301
-5.555084,5.1601696
-2.4659638,3.4291463
-0.3244776,34.88677
14.315291,13.207064
-30.7653,-7.649651
-31.956749,-6.7068577
4.4539614,-19.666136
20.883654,1.013837
28.290428,-5.756112
2.1127098,9.269091
-10.210167,1.2085619
16.541971,-25.517132
17.86137,-2.064432
0.18822026,-24.831608
-12.661064,-9.569053
-21.193733,-3.4030766
-3.6002717,-32.01384
-11.562937,8.2810755
-14.514402,16.207228
-20.199593,25.020235
-31.410543,-11.634682
-5.911645,7.8657107
25.615623,6.4717846
29.011393,16.2903
10.482046,-20.455156
-3.7729094,8.467834
5.252321,25.717525
-1.6596428,23.420942
-22.232029,1.4625516
-24.260723,2.0057707
-2.2458253,16.50491
-6.1450033,7.5033937
16.089935,2.195809
-21.160646,2.8772168
23.003748,-19.628485
0.8695281,25.571493
-1.0579357,17.518196
16.965063,-16.86097
-6.4295907,-17.434837
-15.994431,8.220303
-16.61928,24.277575
-13.144679,-8.799391
-5.328762,-7.487671
28.685482,17.501902
-13.723157,-27.19603
5.018018,14.808058
5.068079,23.706694
-17.279198,4.5706196
-23.748873,-7.526208
-4.510836,-2.5622063
-28.21871,-3.0234163
-7.8024206,-9.255253
8.24513,-28.285688
21.494642,19.948427
19.809605,-15.889432
-16.652185,-21.934698
7.4892397,28.302053
4.5751686,25.340897
13.344374,-9.60197
18.126104,8.902909
25.62155,-18.634321
3.9576364,-28.721521
-16.090582,-7.961936
24.550587,0.99569625
9.960648,-18.44933
15.239334,-9.828354
12.465044,-20.342628
-29.448238,-3.197548
7.8280087,7.562813
-15.844185,-8.353058
-1.4554139,-7.720432
-1.9853375,-17.391499
14.314586,0.13878407
-22.308825,-9.273416
2.591014,1.9965562
-0.8631056,31.55529
29.749678,-13.716571
-25.089348,-21.642946
3.109485,20.501245
-18.660402,-12.737442
9.462386,7.8648334
-6.8388867,23.735407
12.157195,8.082005
-3.4753568,-18.102959
-2.9803493,-21.176365
-22.641388,-11.622073
16.469679,-20.396223
29.025244,16.955326
8.978172,-4.248196
-10.044349,6.4224744
-8.610832,28.363241
8.424131,-20.835423
-17.406729,-15.8745985
12.851256,11.326311
-0.8655519,-8.578919
-10.014622,6.648201
-7.719623,-26.258053
-19.218256,-23.935278
10.565764,-18.14984
-21.5003,-3.7827866
3.8551638,9.386953
4.459926,-30.420612
-22.088526,-8.196561
-13.485191,-26.048307
-9.387576,-17.07571
6.144432,25.2418
-6.053122,-2.4511173
-3.109042,-9.07073
18.485792,10.75293
-9.470436,-9.13903
-21.908121,-16.363304
1.0066358,26.427568
-26.010551,17.656603
-1.7706411,20.130472
15.121848,-14.495172
22.606817,-0.82009286
-9.788351,-1.0255008
17.44643,16.164295
9.336244,-10.427568
-7.7958155,1.1698543
-5.538708,22.82796
-16.362497,7.962835
-13.600852,25.352848
9.971457,22.507463
-5.6811852,17.14029
14.713895,17.590723
-16.19169,-8.421067
-28.219526,6.5004044
2.285831,20.747879
-10.210008,5.0864778
-2.1597378,16.176973
24.632448,-20.188578
-17.173672,-15.8291445
1.8716716,-9.754907
-7.105999,-16.072617
15.967246,18.412563
-11.114352,-2.9505186
-19.952366,26.324183
5.0638933,18.188263
14.150234,20.795855
-31.83088,5.656452
-2.0958726,4.638994
18.685902,9.002326
22.215605,19.438396
26.368856,1.4410756
-21.205227,-10.39498
19.080078,16.446135
-16.812174,24.796463
21.853567,-14.304777
-3.6643033,16.217205
12.74543,-10.263291
16.505981,-20.281317
12.918037,-10.89222
-1.3979794,-21.566572
-5.681358,-24.099936
-15.250809,-24.313269
19.387463,5.2353625
9.182311,-12.542574
-0.79185283,16.72492
-10.225088,-6.71288
13.780076,-6.241302
-7.1559215,-4.347044
-20.542412,15.963918
-4.9241605,7.2318163
4.2049956,-8.277658
21.378782,-13.729719
30.155327,-5.5767045
12.016487,-21.373808
-8.252695,-11.992581
10.528595,-12.4332485
27.649582,-7.3672395
4.662184,-1.684656
-5.7798305,-14.436497
-11.730914,-0.4086256
-3.089425,21.221247
-12.39353,16.100351
-4.0070686,28.628954
-6.3093195,3.2349448
-1.5416183,-2.992037
0.090996884,-16.158121
-16.56115,-12.836557
-21.025822,-13.010777
19.401218,-7.4061594
17.371672,24.210022
23.431517,-14.501212
0.42837042,-15.697139
18.855305,7.1454253
19.411509,-22.383871
-17.871815,24.009836
4.4750276,31.354204
-15.58923,15.192201
-19.48081,-25.690084
-5.2035007,-20.012774
-26.294487,-9.755461
-1.2365619,0.05708256
-9.132968,-20.072458
4.747569,28.355944
14.659198,20.34142
26.046604,14.970069
-17.092892,22.179955
17.69175,16.994726
-30.517296,9.740173
23.420048,-16.104876
8.805988,-23.050014
3.3783205,-8.207325
19.275917,-0.7079477
19.312017,-8.523785
1.0894147,-5.0747833
-20.300747,-1.7696321
-13.055555,2.5627525
10.379178,-22.808414
6.42489,21.209677
-10.710712,26.44099
2.5087192,-14.761976
3.2851639,-22.01497
-22.195404,9.332627
2.5306642,-10.5928545
5.221204,31.390194
-11.43465,10.8102665
13.353763,-1.5971235
-13.792614,-3.6847293
-24.547369,-16.198364
-22.088387,-17.630371
22.894865,-16.279562
-27.296135,-4.197986
6.9671674,1.344596
-6.811229,-17.252344
16.271196,18.654142
-1.0692945,-12.741665
14.016027,22.349613
-20.293364,15.380585
-17.707327,-2.6040702
-12.589572,-10.309321
19.742819,-16.115133
-19.63504,6.2648406
-2.234153,20.887459
-5.1773653,18.208273
-1.052256,-12.735135
-0.9205203,-26.922525
3.0042913,24.06132
6.009018,19.739666
-0.36978948,15.4044285
11.379179,1.5647882
-9.571447,-2.5273423
-33.69053,2.3481011
19.636621,-11.058872
-4.7368565,-16.148706
-24.876251,-6.5296707
