,x_tsne,y_tsne
249,23.501022,-1.5841445
250,10.921599,16.28166
251,-3.1886206,-26.44974
252,-31.2715,2.9459758
253,-5.2791147,-24.652796
254,6.315806,9.079657
255,7.2530336,2.6761484
256,8.235182,28.525766
257,-12.667858,10.776349
258,-0.49726352,-16.702475
259,-5.3091345,-20.29262
260,-9.3974495,7.919686
261,-9.227487,14.088514
262,28.8567,0.14777067
263,-11.3012,0.09208149
264,2.2307773,9.576292
265,23.688135,-4.618813
266,21.14063,-19.774261
267,4.9331837,0.21772042
268,-12.696777,14.417577
269,-16.963678,1.3925564
270,30.567171,-6.945041
271,32.5234,6.889458
272,-0.5556849,32.41717
273,-10.881762,6.610223
274,-22.483545,-7.98401
275,-12.439938,21.233545
276,-33.724716,-2.4559224
277,20.470152,-10.300292
278,-7.428298,32.564278
279,11.059001,-6.9780188
280,1.2003798,7.4391975
281,-21.035215,-15.526084
282,-4.451668,-20.821535
283,-15.835736,10.189209
284,1.8237146,16.864857
285,-24.348513,-14.9925995
286,-3.9595184,-11.230433
287,-8.246676,12.917912
288,-24.882273,-15.712125
289,-32.164032,8.695316
290,23.830084,1.1231153
291,-18.846058,15.4033
292,-29.526003,15.166387
293,5.0675683,11.570556
294,28.535107,5.701471
295,16.236471,-11.258381
296,7.209082,-8.089509
297,-0.48305252,23.359806
298,-17.573654,21.23085
299,8.778923,23.882887
300,14.608515,22.511244
301,-22.067272,-19.725044
302,30.05252,-0.103569254
303,-1.3428007,16.780539
304,-4.3055563,-13.9795685
305,-6.2133183,3.8062253
306,-4.5405293,-22.4252
307,14.079813,-26.319736
308,-11.891331,-23.581028
309,-7.590839,-25.695562
310,14.839472,-4.460773
311,-24.349583,-10.537739
312,17.965351,-9.914194
313,7.283189,23.055431
314,12.375268,-0.9780438
315,-12.491477,31.81438
316,10.439979,-10.358296
317,-29.615728,1.2775826
